;round;last_winning_bid;last_winning_bidders;auction_round;last_winning_miner;last_launchers;last_mining_payoff;base_reward;SpongeBob;PassiveLauncher;AlwaysLauncher;AggressiveLauncher;Manu;Evie;tech;tech_gain_passive;tech_at_join;tech_gain_bid
69;70;8;['Manu'];1;AlwaysLauncher;['SpongeBob', 'AlwaysLauncher', 'Evie'];14;5;460;-10;642;-7;504;938;8.0;0.0;10.0;2.0
70;71;7;['Manu'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];20;3;455;-10;652;-7;492;928;11.0;1.0;11.0;
71;72;3;['SpongeBob'];1;AlwaysLauncher;['SpongeBob', 'AlwaysLauncher', 'Evie'];10;1;442;-10;652;-7;487;918;16.0;5.0;16.0;
72;73;2;['Evie'];1;AlwaysLauncher;['AlwaysLauncher'];6;24;437;-10;648;-7;482;911;24.0;8.0;24.0;
73;74;24;['SpongeBob'];1;Manu;['AlwaysLauncher', 'Manu', 'Evie'];42;11;408;-10;638;-7;514;901;1.0;1.0;1.0;
74;75;11;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];22;80;409;-10;628;-7;509;891;4.0;3.0;4.0;
75;76;80;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie'];81;3;324;-10;618;-7;504;962;5.0;1.0;5.0;0.0
76;77;10;['Manu'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];11;5;325;-10;608;-7;489;952;9.0;4.0;9.0;
77;78;5;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie'];13;17;315;-10;598;-7;484;955;11.0;2.0;11.0;
78;79;17;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie'];25;2;293;-10;588;-7;479;970;16.0;5.0;16.0;
79;80;2;['SpongeBob', 'Evie'];1;Evie;['SpongeBob', 'AlwaysLauncher', 'Evie'];13;1;281;-10;578;-7;474;971;19.0;3.0;19.0;
80;81;2;['Evie'];1;Evie;['AlwaysLauncher', 'Evie'];5;1;276;-10;568;-7;469;964;24.0;5.0;24.0;
81;82;2;['Evie'];1;AlwaysLauncher;['SpongeBob', 'AlwaysLauncher', 'Evie'];27;2;266;-10;585;-7;464;952;28.0;4.0;28.0;
82;83;2;['SpongeBob', 'Evie'];1;Evie;['AlwaysLauncher', 'Evie'];10;23;259;-10;575;-7;459;950;31.0;3.0;31.0;
83;84;23;['SpongeBob'];1;Manu;['SpongeBob', 'AlwaysLauncher', 'Manu', 'Evie'];33;6;226;-10;565;-7;482;940;7.0;7.0;7.0;
84;85;6;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie'];15;9;215;-10;555;-7;477;945;10.0;3.0;10.0;
85;86;9;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];21;30;217;-10;545;-7;472;935;15.0;5.0;;
86;87;30;['SpongeBob'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Manu', 'Evie'];39;13;216;-10;535;-7;462;925;8.0;8.0;17.0;9.0
87;88;13;['SpongeBob', 'Manu'];1;Manu;['AlwaysLauncher', 'Manu', 'Evie'];29;3;198;-10;525;-7;468;915;3.0;3.0;12.0;9.0
88;89;14;['Manu'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];40;5;228;-10;515;-7;449;905;12.0;0.0;15.0;3.0
89;90;13;['Manu'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];26;3;223;-10;531;-7;431;895;19.0;4.0;19.0;
90;91;3;['SpongeBob'];1;AlwaysLauncher;['SpongeBob', 'AlwaysLauncher', 'Evie'];16;9;210;-10;537;-7;426;885;26.0;7.0;26.0;
91;92;9;['SpongeBob'];1;Manu;['AlwaysLauncher', 'Manu', 'Evie'];28;2;196;-10;527;-7;444;875;0.0;0.0;0.0;0.0
92;93;4;['Manu'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];9;4;195;-10;517;-7;435;865;8.0;8.0;8.0;
93;94;4;['SpongeBob'];1;AlwaysLauncher;['AlwaysLauncher'];62;21;186;-10;569;-7;430;860;8.0;0.0;8.0;
94;95;21;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie'];27;1;160;-10;559;-7;425;877;16.0;8.0;21.0;5.0
95;96;9;['Manu'];1;SpongeBob;['SpongeBob', 'AlwaysLauncher', 'Evie'];14;1;164;-10;549;-7;411;867;25.0;4.0;25.0;
96;97;2;['Evie'];1;Evie;['AlwaysLauncher', 'Evie'];16;49;159;-10;539;-7;406;871;26.0;1.0;;
97;98;49;['SpongeBob'];1;Manu;['SpongeBob', 'AlwaysLauncher', 'Manu', 'Evie'];60;3;100;-10;529;-7;456;861;1.0;1.0;4.0;3.0
98;99;7;['Manu'];1;Evie;['AlwaysLauncher', 'Evie'];23;4;95;-10;519;-7;444;874;8.0;4.0;16.0;8.0
99;100;6;['Manu'];1;Evie;['AlwaysLauncher', 'Evie'];10;11;90;-10;509;-7;433;874;16.0;0.0;16.0;
100;101;11;['SpongeBob'];1;Evie;['AlwaysLauncher', 'Evie'];65;5;74;-10;499;-7;428;929;23.0;7.0;23.0;
101;102;5;['SpongeBob'];1;AlwaysLauncher;['SpongeBob', 'AlwaysLauncher', 'Evie'];12;48;59;-10;501;-7;423;919;29.0;6.0;;
102;103;48;['SpongeBob'];1;Manu;['AlwaysLauncher', 'Manu', 'Evie'];58;2;6;-10;491;-7;471;909;3.0;3.0;7.0;4.0
103;104;7;['Manu'];1;AlwaysLauncher;['SpongeBob', 'AlwaysLauncher', 'Evie'];13;14;-4;-10;494;-7;459;899;11.0;4.0;12.0;1.0
104;105;6;['Manu'];1;Evie;['AlwaysLauncher', 'Manu', 'Evie'];23;1;-4;-10;484;-7;443;912;8.0;8.0;9.0;1.0
105;106;5;['Manu'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];3;3;-4;-10;477;-7;433;902;17.0;8.0;25.0;8.0
106;107;4;['Manu'];1;Manu;['AlwaysLauncher', 'Manu', 'Evie'];11;2;-4;-10;467;-7;430;892;7.0;7.0;9.0;2.0
107;108;3;['Manu'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];15;4;-4;-10;472;-7;422;882;19.0;10.0;21.0;2.0
108;109;2;['Manu', 'Evie'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];30;5;-4;-10;492;-7;415;870;31.0;10.0;;
109;110;2;['Evie'];1;Evie;['AlwaysLauncher', 'Manu', 'Evie'];18;67;-4;-10;482;-7;405;876;7.0;7.0;;
110;111;4;['Manu'];1;Manu;['AlwaysLauncher', 'Manu', 'Evie'];76;22;-4;-10;472;-7;467;866;6.0;6.0;14.0;8.0
111;112;3;['Manu'];1;Evie;['AlwaysLauncher', 'Manu', 'Evie'];28;3;-4;-10;462;-7;454;884;10.0;10.0;18.0;8.0
112;113;2;['Manu', 'Evie'];1;Manu;['AlwaysLauncher', 'Manu', 'Evie'];14;18;-4;-10;452;-7;456;872;4.0;4.0;12.0;8.0
113;114;3;['Manu'];1;Evie;['AlwaysLauncher', 'Manu', 'Evie'];38;12;-4;-10;442;-7;443;900;6.0;6.0;12.0;6.0
114;115;2;['Manu', 'Evie'];1;Mission failure;['AlwaysLauncher', 'Manu'];25;11;-4;-10;432;-7;431;893;5.0;5.0;7.0;2.0
115;116;3;['Manu'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];67;6;-4;-10;489;-7;423;883;7.0;0.0;13.0;6.0
116;117;2;['Manu', 'Evie'];1;Evie;['AlwaysLauncher', 'Evie'];17;21;-4;-10;479;-7;416;888;15.0;2.0;25.0;10.0
117;118;3;['Manu'];1;Manu;['AlwaysLauncher', 'Manu', 'Evie'];31;4;-4;-10;469;-7;434;878;3.0;3.0;12.0;9.0
118;119;2;['Manu', 'Evie'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];10;3;-4;-10;469;-7;427;866;19.0;7.0;21.0;2.0
119;120;3;['Manu'];1;Mission failure;['AlwaysLauncher', 'Manu', 'Evie'];57;7;-4;-10;459;-7;414;856;6.0;6.0;9.0;3.0
120;121;2;['Manu', 'Evie'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];19;2;-4;-10;468;-7;407;844;17.0;8.0;21.0;4.0
121;122;3;['Manu'];1;Evie;['AlwaysLauncher', 'Evie'];7;43;-4;-10;458;-7;399;841;23.0;2.0;;
122;123;2;['Manu', 'Evie'];1;Manu;['AlwaysLauncher', 'Manu', 'Evie'];56;7;-4;-10;448;-7;443;829;10.0;10.0;20.0;10.0
123;124;3;['Manu'];1;Manu;['AlwaysLauncher', 'Manu', 'Evie'];33;0;-4;-10;438;-7;463;819;3.0;3.0;9.0;6.0
124;125;2;['Manu', 'Evie'];1;Evie;['AlwaysLauncher', 'Evie'];9;16;-4;-10;428;-7;456;816;19.0;10.0;;
125;126;3;['Manu'];1;AlwaysLauncher;['AlwaysLauncher', 'Manu', 'Evie'];31;2;-4;-10;449;-7;443;806;5.0;5.0;11.0;6.0
126;127;2;['Manu', 'Evie'];1;AlwaysLauncher;['AlwaysLauncher'];5;3;-4;-10;444;-7;436;799;19.0;8.0;28.0;9.0
127;128;3;['Manu'];1;AlwaysLauncher;['AlwaysLauncher', 'Manu', 'Evie'];13;176;-4;-10;447;-7;423;789;10.0;10.0;;
128;129;2;['Manu', 'Evie'];1;Manu;['AlwaysLauncher', 'Manu', 'Evie'];194;7;-4;-10;437;-7;605;777;3.0;3.0;5.0;2.0
129;130;3;['Manu'];1;Evie;['AlwaysLauncher', 'Evie'];19;1;-4;-10;427;-7;597;786;8.0;3.0;17.0;9.0
130;131;2;['Manu', 'Evie'];1;Evie;['AlwaysLauncher', 'Evie'];7;25;-4;-10;417;-7;590;781;21.0;4.0;;
131;132;3;['Manu'];1;Manu;['AlwaysLauncher', 'Manu'];38;1;-4;-10;407;-7;615;776;3.0;3.0;6.0;3.0
132;133;2;['Manu', 'Evie'];1;Evie;['AlwaysLauncher', 'Evie'];29;13;-4;-10;397;-7;608;793;6.0;0.0;10.0;4.0
133;134;3;['Manu'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];33;8;-4;-10;420;-7;600;783;15.0;5.0;22.0;7.0
134;135;2;['Manu', 'Evie'];1;AlwaysLauncher;['AlwaysLauncher', 'Manu', 'Evie'];21;10;-4;-10;431;-7;588;771;1.0;1.0;6.0;5.0
135;136;3;['Manu'];1;Evie;['AlwaysLauncher', 'Evie'];24;15;-4;-10;421;-7;580;785;13.0;7.0;14.0;1.0
136;137;2;['Manu', 'Evie'];1;Manu;['AlwaysLauncher', 'Manu', 'Evie'];24;10;-4;-10;411;-7;592;773;8.0;8.0;13.0;5.0
137;138;3;['Manu'];1;Evie;['AlwaysLauncher', 'Manu', 'Evie'];18;0;-4;-10;401;-7;579;781;7.0;7.0;13.0;6.0
138;139;2;['Manu', 'Evie'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];23;5;-4;-10;414;-7;572;769;16.0;3.0;23.0;7.0
139;140;3;['Manu'];1;AlwaysLauncher;['AlwaysLauncher', 'Manu', 'Evie'];15;6;-4;-10;419;-7;559;759;10.0;10.0;18.0;8.0
140;141;2;['Manu', 'Evie'];1;Manu;['AlwaysLauncher', 'Manu', 'Evie'];14;14;-4;-10;409;-7;561;747;9.0;9.0;;
141;142;3;['Manu'];1;AlwaysLauncher;['AlwaysLauncher', 'Manu', 'Evie'];38;10;-4;-10;437;-7;548;737;8.0;8.0;10.0;2.0
142;143;2;['Manu', 'Evie'];1;Evie;['AlwaysLauncher', 'Evie'];23;2;-4;-10;427;-7;541;748;17.0;7.0;22.0;5.0
143;144;3;['Manu'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];11;44;-4;-10;428;-7;533;738;23.0;1.0;;
144;145;2;['Manu', 'Evie'];1;Manu;['AlwaysLauncher', 'Manu', 'Evie'];55;25;-4;-10;418;-7;576;726;0.0;0.0;7.0;7.0
145;146;3;['Manu'];1;AlwaysLauncher;['AlwaysLauncher', 'Manu'];31;11;-4;-10;439;-7;563;721;4.0;4.0;5.0;1.0
146;147;2;['Manu', 'Evie'];1;Evie;['AlwaysLauncher', 'Evie'];21;70;-4;-10;429;-7;556;730;12.0;7.0;;
147;148;3;['Manu'];1;Evie;['AlwaysLauncher', 'Manu', 'Evie'];87;19;-4;-10;419;-7;543;807;2.0;2.0;10.0;8.0
148;149;2;['Manu', 'Evie'];1;Manu;['AlwaysLauncher', 'Manu'];47;3;-4;-10;409;-7;578;800;2.0;2.0;12.0;10.0
149;150;3;['Manu'];1;Evie;['AlwaysLauncher', 'Evie'];11;4;-4;-10;399;-7;570;801;13.0;1.0;23.0;10.0
150;151;2;['Manu', 'Evie'];1;Evie;['AlwaysLauncher', 'Manu', 'Evie'];13;23;-4;-10;389;-7;558;802;10.0;10.0;;
151;152;3;['Manu'];1;Manu;['AlwaysLauncher', 'Manu', 'Evie'];51;1;-4;-10;379;-7;596;792;3.0;3.0;4.0;1.0
152;153;2;['Manu', 'Evie'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];8;3;-4;-10;377;-7;589;780;14.0;10.0;15.0;1.0
153;154;3;['Manu'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];26;5;-4;-10;393;-7;581;770;16.0;1.0;20.0;4.0
154;155;2;['Manu', 'Evie'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];23;1;-4;-10;406;-7;574;758;30.0;10.0;30.0;
155;156;2;['Evie'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];13;3;-4;-10;409;-7;569;746;30.0;0.0;30.0;
156;157;2;['Evie'];1;Evie;['AlwaysLauncher', 'Evie'];18;1;-4;-10;399;-7;564;752;35.0;5.0;35.0;
157;158;2;['Evie'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];20;2;-4;-10;409;-7;559;740;36.0;1.0;36.0;
158;159;2;['Evie'];1;Evie;['AlwaysLauncher', 'Evie'];12;14;-4;-10;399;-7;554;740;36.0;0.0;;
159;160;4;['Manu'];1;Manu;['AlwaysLauncher', 'Manu', 'Evie'];24;3;-4;-10;389;-7;564;730;5.0;5.0;13.0;8.0
160;161;3;['Manu'];1;AlwaysLauncher;['AlwaysLauncher', 'Evie'];43;6;-4;-10;422;-7;556;720;19.0;6.0;26.0;7.0
161;162;2;['Manu', 'Evie'];1;Manu;['AlwaysLauncher', 'Manu', 'Evie'];17;10;-4;-10;412;-7;561;708;2.0;2.0;11.0;9.0
162;163;3;['Manu'];1;Manu;['AlwaysLauncher', 'Manu', 'Evie'];19;4;-4;-10;402;-7;567;698;9.0;9.0;10.0;1.0
163;164;2;['Manu', 'Evie'];1;Evie;['AlwaysLauncher', 'Evie'];20;13;-4;-10;392;-7;560;706;11.0;1.0;13.0;2.0
164;165;3;['Manu'];1;Manu;['AlwaysLauncher', 'Manu', 'Evie'];19;12;-4;-10;382;-7;566;696;1.0;1.0;5.0;4.0
165;166;2;['Manu', 'Evie'];1;Evie;['AlwaysLauncher', 'Evie'];26;2;-4;-10;372;-7;559;710;8.0;3.0;8.0;0.0
166;167;3;['Manu'];1;AlwaysLauncher;['AlwaysLauncher'];18;5;-4;-10;380;-7;551;705;10.0;2.0;17.0;7.0
